campus,borough2,school_corrected
IS/JHS 339,BRONX,
IS/JHS 898,MANHATTAN,
IT TAKES A VILLAGE ACADEMY ITAVA,BROOKLYN,
JAMAICA GATEWAY TO THE SCIENCES,QUEENS,
JAMES MADISON GED,BROOKLYN,
JOHN F KENNEDY GED,BRONX,
KIPP WASHINGTON HEIGHTS MIDDLE SCHOOL,MANHATTAN,
LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,MANHATTAN,
MIDWOOD ANNEX,BROOKLYN,
MILLENIUM HS,MANHATTAN,
MS 936K,,
NAPLES STREET ELEMENTARY SCHOOL,STATEN ISLAND,
NEW HEIGHTS MIDDLE SCHOOL ,BROOKLYN,
NEW VISIONS CHARTER HIGH SCHOOL FOR ADVANCE MATH & SCIENCE III,,
OFFSITE SUSPENSION CENTERS,BROOKLYN,
ORCHARD COLLEGIATE ACADEMY,,
ORIGINS HIGH SCHOOL,,
P 226@380 ,MANHATTAN,
P721 OTC,MANHATTAN,
P811M ,MANHATTAN,
PELHAM LAB HIGH SCHOOL ,BRONX,
PROFESSIONAL PERFORMING ARTS SCHOOL-PPAS,MANHATTAN,
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 1,BRONX,
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 2,BRONX,
SUCCESS ACADEMY CHARTER SCHOOL - BUSHWICK,,
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 1,MANHATTAN,
SUCCESS ACADEMY CHARTER SCHOOL - HARLEM 5,MANHATTAN,
SUCCESS ACADEMY CHARTER SCHOOL - MANHATTAN 2- HELL'S KITCHEN,MANHATTAN,
SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE NY 5,,
TEACHERS COLLEGE COMMUNITY SCHOOL ANNEX – MANHATT,,
THE HS FOR LANGUAGE & DIPLOMACY,MANHATTAN,
THE JAMES BALDWIN SCHOOL:A SCHOOL FOR EXPEDITIONARY LEARNING,MANHATTAN,
UNCOMMON CHARTER HS,BROOKLYN,
WILDCAT HS,BRONX,
WILLIAM H. TAFT GED,BRONX,
WORLD VIEW HIGH SCHOOL ,BRONX,
YALA MANHATTAN LEARNING CENTER,MANHATTAN,
51ST AVE ACADEMY,QUEENS,51 AVENUE ACADEMY THE PATH TO ACADEMIC EXCELLENCE
ACAD FOR CAREERS IN TELEVISION & FILM,QUEENS,ACADEMY FOR CAREERS IN TELEVISION AND FILM
ACADEMY OF COLLABORATIVE EDUCATION,MANHATTAN,INSTITUTE FOR COLLABORATIVE EDUCATION
ACE ACADEMY FOR SCHOLARS@GERALDINE FERRARO CAMPUS,QUEENS,
ALC- SUTPHIN HS@QNS SUSP. CENTER,,
ALC-JAMAICA ACADEMY@ALC-COMPLEX ,QUEENS,
ALTERNATIVE LEARNING CENTER@STEVENSON CAMPUS,,
AMPARK NEIGHBORHOOD PROGRAM,BRONX,
AUXILIARY SERVICES@MONROE ACADEMY EVENING,BRONX,
AUXILIARY SERVICES@WILLIAM GRADY VOC  HS,BROOKLYN,
BARUCH COLLEGE  HS,MANHATTAN,
BRONX PREPARATORY CHARTER SCHOOL,BRONX,
BRONX WEST BOROUGH OFFICE,,
CANARSIE EVENING HS TUES & THURS,BROOKLYN,
CAREER EDUCATION CENTER,MANHATTAN,
CASTLE BRIDGE SCHOOL,MANHATTAN,
CITY AS SCHOOL HS ,BROOKLYN,
CITY KNOLL SCHOOL,,
CITY POLYTECHNIC HS OF ENGINEERING ARCHITECTURE & TECHNOLOGY,BROOKLYN,
CLINTON SCHOOL@PS 11,MANHATTAN,
CONEY ISLAND PREP ELEMENTARY SCHOOL,BROOKLYN,
DISTRICT 2 PREK CENTER@M453,,
DISTRICT 75 SECONDARY SITE 75R373 ,STATEN ISLAND,
EAST NEW YORK PREPARATORY CHARTER SCHOOL,BROOKLYN,
EBC/ENY HS FOR PUBLIC SAFETY & LAW,BROOKLYN,
EXPLORE EXCEED CHARTER SCHOOL@K022,,
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW & PUBLIC POLICY,BRONX,
GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER,,
GIRLS PREP. CHARTER SCH. OF THE BX@MS 301X ,BRONX,
HUNTERS POINT ELEMENTARY SCHOOL,,
INTERNATIONAL HS AT LAFAYETTE,BROOKLYN,
INTERNATIONAL HS FOR HEALTH SCIENCES,QUEENS,
INTERNATIONAL HS@LAGUARDIA COMMUNITY COLLEGE,QUEENS,
IS/JHS 13,MANHATTAN,
IS/JHS 250,MANHATTAN,
IS/JHS 705,QUEENS,
JOHN F KENNEDY JR. SCHOOL ,QUEENS,
JOHN JAY ANNEX HS,BROOKLYN,
KIPP ALL CHARTER SCHOOL - BRONX ,BRONX,
KIPP AMP CHARTER SCHOOL,BROOKLYN,
KIPP FREEDOM CHARTER SCHOOL,,
KIPP FREEDOM CHARTER SCHOOL ,BRONX,
KIPP STAR COLLEGE PREPARATORY CHARTER SCHOOL,MANHATTAN,
LEADERSHIP PREP BROWNSVILLE CHARTER SCHOOL,BROOKLYN,
LINDEN LEARNING CENTER,BROOKLYN,
MANHATTAN SOUTH BOROUGH OFFICE,,
MARBLE HILL HS FOR INTERNATIONAL STUDIES,BRONX,
MOSAIC PREK CNTR@68-20 MYRTLE AVE,QUEENS,
NEW DORP EVENING T/R,STATEN ISLAND,
NEW SCHOOL FOR ARTS & SCIENCES,BRONX,
NORTHSIDE CHARTER SCHOOL,BROOKLYN,
NYC LAB MS FOR COLL. STUDIES,MANHATTAN,
P009Q@Q268,,
P009Q@Q882,QUEENS,
P188@JHS120,BRONX,
P371ANNEX,BROOKLYN,
P4@P843,BROOKLYN,
P811 BRONX CMHC,BRONX,
PAL LONGWOOD SUSPENSION CENTER,BRONX,
PARK WEST EVENING M/W,MANHATTAN,
PARK WEST EVENING T/R,MANHATTAN,
PASSAGES ACADEMY,BRONX,
PATHWAYS FOR YOUTH@CASTLE HILL COMMUNITY CENTER,BRONX,
PORT RICHMOND SCHOOL FOR VISIONARY LEARNING,,
PREK CENTER @ 1258 65TH STREET ,UPK695K,
PREK CENTER@BISHOP FORD HS ,BROOKLYN,
PS/IS 224 ,BRONX,PS  IS 224
PS/IS 338,BRONX,
QUEENS EXPLORERS ELEMENTARY SCHOOL  ,QUEENS,
REGION 9 LEARNING SUPPORT CENTER,MANHATTAN,
RICHARD R GREEN HS OF TEACHING,MANHATTAN,
ROBERT H GODDARD HS OF COMMUNICATION ARTS & TECHNOLOGY,QUEENS,
SCHOOL FOR TOURISM AND HOSPITALITY,BRONX,
SPECIAL MUSIC SCHOOL-PS 859,MANHATTAN,
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 2,BROOKLYN,
SUCCESS ACADEMY CHARTER SCHOOL - CROWN HEIGHTS - BROOKLYN 7,BROOKLYN,
SUCCESS ACADEMY CHARTER SCHOOL - FAR ROCKAWAY,,
THE CELIA CRUZ BRONX HS OF MUSIC,BRONX,
THE NEW VISIONS CHARTER HS FOR THE HUMANITIES,BRONX,
THE PECK SLIP SCHOOL,MANHATTAN,
THE RIVER SCHOOL,MANHATTAN,
THE STEAM BRIDGE SCHOOL,,
THE YOUNG WOMEN’S LEADERSHIP SCHOOL OF STATEN ISLAND,,
WALTON GED,BRONX,
WASHINGTON IRVING YABC,MANHATTAN,
WESTINGHOUSE EVENING SCHOOL,BROOKLYN,
WILLIAMSBURG CHARTER SCHOOL,BROOKLYN,
PS/IS 30 MARY WHITE OVINGTON,,IS 30 MARY WHITE OVINGTON
PS/IS 208 ,QUEENS,PSIS 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNE
PS/IS 323,BROOKLYN,PSIS 323
PS/IS 35,BROOKLYN,PSIS 323
PS/IS 295 ,QUEENS,PSIS 295
PS/IS 217 ROOSEVELT ISLAND,MANHATTAN,PSIS 217 ROOSEVELT ISLAND
PS/IS 194 ,BRONX,PSIS 104 FORT HAMILTON SCHOOL
PS/IS 194,BRONX,PSIS 104 FORT HAMILTON SCHOOL
PS/IS 89,MANHATTAN,PSIS 295
