campus,borough2,school_corrected
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,MANHATTAN,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING  VIS
WALTON HS,BRONX,
ANDRIES HUDDE JHS,BROOKLYN,ANDRIES HUDDE
BRANDEIS YABC,MANHATTAN,LOUIS D BRANDEIS HIGH SCHOOL
MS 297M@PS/IS 323M,,
MS 201 SCHOOL OF THEATRE ARTS & RES,BRONX,
BREAD & ROSES INTEGRATED ARTS  HS,MANHATTAN,BREAD    ROSES INTEGRATED ARTS HIGH SCHOOL
WILLIAM H MAXWELL CAREER & TECHNICAL EDUCATION HS,BROOKLYN,
P25 SOUTH RICHMOND,STATEN ISLAND,SOUTH RICHMOND HIGH SCHOOL ISPS 25
BROOKLYN HS FOR LAW & TECHNOLOGY,BROOKLYN,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY
SCHOOL OF CO-OP TECH. ED.,MANHATTAN,
IS/JHS 226,QUEENS,JHS 226 VIRGIL I GRISSOM
IS/JHS 52 ,MANHATTAN,JHS 052 INWOOD
P373 BKYLN TRANSITION CTR,BROOKLYN,PS 373  BROOKLYN TRANSITION CENTER
P036K,BROOKLYN,PS K036
PROGRESS HS FOR PROFESSONAL STUDIES,BROOKLYN,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS
HS FOR HEALTH PROFESSIONS & HUMAN SERVICES,MANHATTAN,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI
SOUTH BRONX HS,BRONX,
FIORELLO H LAGUARDIA HS OF MUSIC ART & PERFORMING ARTS,MANHATTAN,FIORELLO H LAGUARDIA HIGH SCHOOL OF MUSIC  ART A
JHS 117 FRANCIS SCOTT KEY,BROOKLYN,
P723X@JILL CHAIFETZ TRANSFER HS,,
BRONX HS OF SCIENCE,BRONX,BRONX HIGH SCHOOL OF SCIENCE
IS/JHS 291,BROOKLYN,JHS 291 ROLAND HAYES
BARD HS EARLY COLLEGE II,QUEENS,BARD HIGH SCHOOL EARLY COLLEGE II
HS FOR LAW ADVOCACY & COMMUNITY JUSTICE,MANHATTAN,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTIC
BROOKLYN COMMUNITY HS OF COMMUNICATION ARTS & MEDIA,BROOKLYN,BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION A
BROOKLYN HS OF THE ARTS,BROOKLYN,BROOKLYN HIGH SCHOOL OF THE ARTS
CITY AS SCHOOL HS ,MANHATTAN,HIGH SCHOOL M560  CITY AS SCHOOL
IS/JHS 167,MANHATTAN,JHS 167 ROBERT F WAGNER
NEW SETTLEMENT COMMUNITY CAMPUS,BRONX,
PASSAGES ACADEMY AT BELMONT,BROOKLYN,
GEORGE WASHINGTON HS,MANHATTAN,
VALIDUS PREPARATORY ACADEMY:AN EXPEDITIONARY LEARNING SCHOOL,BRONX,
GOTHAM COLLABORATIVE HIGH SCHOOL ,BRONX,
PARK WEST HS,MANHATTAN,
ADLAI STEVENSON HS GED,BRONX,BRONX COMMUNITY HIGH SCHOOL
BRONX HS FOR THE VISUAL ARTS,BRONX,
MS 311Q-CORONA ARTS & SCIENCE ACADEMY,,
CANARSIE HS,BROOKLYN,
HS FOR ARTS IMAGINATION & INQUIRY,MANHATTAN,HIGH SCHOOL FOR ARTS IMAGINATION AND INQUIRY
HUDSON HS OF LEARNING TECHNOLOGIES,MANHATTAN,
JUAN MOREL CAMPOS SECONDARY SCH-IS 71K,BROOKLYN,
MOTT HAVEN EDUCATIONAL CAMPUS,,
P25 ANNEX ARTHUR KILL ROAD,STATEN ISLAND,
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL CASA,BRONX,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO
EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,BROOKLYN,
HS OF TELECOMMUNICATION ARTS & TECHNOLOGY,BROOKLYN,
JHS 166 ROBERTO CLEMENTE,BRONX,
HARVEST COLLEGIATE,,
JHS 258 DAVID RUGGLES,BROOKLYN,
NEW VISIONS CHARTER HIGH SCHOOL FOR THE HUMANITIES II,,
URBAN ASSEMBLY HS OF MUSIC & ART AT WATER'S EDGE,BROOKLYN,URBAN ASSEMBLY SCHOOL OF MUSIC AND ART THE
QUEENS TECHNICAL HS ,QUEENS,
SAMUEL J TILDEN HS,BROOKLYN,
BRONX RIVER HIGH SCHOOL ,BRONX,
COLLEGE POINT COLLABORATIVE ,QUEENS,
EPIC HIGH SCHOOL - SOUTH ,QUEENS,
IS/JHS 59,QUEENS,
MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,MANHATTAN,
PS/IS 25 NORTH SHORE ANNEX,,
THE BROOKLYN SCHOOL FOR MATH & RESEARCH,BROOKLYN,
CASCADE HS FOR TEACHING & LEARNING,MANHATTAN,
EVANDER CHILDS EVENING HS MON & WED,BRONX,
THE EMERSON SCHOOL,QUEENS,
THURGOOD MARSHALL ACADEMY FOR LEARNING & CHANGE ,MANHATTAN,
